30, 0.35,0.4, 0.4, 0.35, 0.55
50, 0.5, 0.6, 0.6, 0.5, 0.45
75, 0.45, 0.7, 0.6, 0.45, 0.7
100, 0.75, 0.7, 0.65, 0.6, 0.6
