20, 0.35, 0.55, 0.25, 0.25, 0.35, 0.5, 0.55, 0.25, 0.5, 0.4 
50, 0.4, 0.7, 0.4, 0.7, 0.65, 0.6, 0.55, 0.5, 0.5, 0.75
75, 0.85, 0.75, 0.6, 0.6, 0.7, 0.65, 0.5, 0.55, 0.65, 0.7
100, 0.8, 0.65, 0.8, 0.75, 0.65, 0.7, 0.75, 0.75, 0.7, 0.65
120, 0.8, 0.8, 0.8, 0.85, 0.75, 0.8, 0.6, 0.7, 0.8, 0.6
